,year,country,sex,suicides_no,population,HDIforyear,gdp_for_year($),gdp_per_capita($),unemployment,depression_rate,suicides_per_100K
2669,2004,Costa Rica,male,281,1912463,,18529767934,4850,5.40999984741211,2.45685174712,14.693094716080783
2670,2004,Croatia,female,226,2200400,,41574530816,9829,15.2687997817993,3.2353768521099995,10.270859843664788
2671,2004,Croatia,male,645,2029200,,41574530816,9829,12.334099769592301,2.4858424416599996,31.785925487876995
2672,2004,Cuba,female,371,5280094,,38203000000,3611,2.20499992370605,4.30917862079,7.026390060479984
2673,2004,Cuba,male,1144,5298607,,38203000000,3611,1.65400004386902,2.78718403504,21.590580316675684
2674,2004,Cyprus,female,2,352930,,17422375000,25227,5.42439985275269,4.3076288392699995,0.5666846116793698
2675,2004,Cyprus,male,5,337686,,17422375000,25227,3.4665999412536603,2.30806979382,1.4806654702889666
2676,2004,Czech Republic,female,297,5011597,,119162172468,12226,9.650899887084961,3.14959051374,5.926254644976442
2677,2004,Czech Republic,male,1286,4735050,,119162172468,12226,7.058599948883059,2.3152909820099996,27.159164105975652
2678,2004,Denmark,female,192,2569012,,251373036671,49552,5.439099788665769,4.1527175125200015,7.473690274704828
2679,2004,Denmark,male,469,2503915,,251373036671,49552,4.99900007247925,2.57516654916,18.730667774265502
2680,2004,Ecuador,female,236,6000268,,36591661000,3051,5.70459985733032,3.4184462626200003,3.933157652291531
2681,2004,Ecuador,male,555,5993885,,36591661000,3051,4.53090000152588,2.457858453,9.259436909450214
2682,2004,El Salvador,female,115,2803991,,13724810900,2573,3.42000007629395,3.5996950747800005,4.101297044106062
2683,2004,El Salvador,male,349,2529179,,13724810900,2573,7.78000020980835,2.4259879391999997,13.798944242380632
2684,2004,Estonia,female,59,697335,,12059201242,9293,8.83390045166016,5.17772092938,8.460782837517119
2685,2004,Estonia,male,264,600315,,12059201242,9293,11.6270999908447,3.1742301447900005,43.97691212113641
2686,2004,Fiji,female,8,357833,,2727507213,3744,6.0,3.6678618940900005,2.2356797724077992
2687,2004,Fiji,male,16,370575,,2727507213,3744,4.099999904632569,2.64299403248,4.317614517978817
2688,2004,Finland,female,252,2532379,,196768065557,39793,10.5746002197266,6.3008460704,9.95111711161718
2689,2004,Finland,male,812,2412386,,196768065557,39793,10.1560001373291,3.86962946821,33.65962163600684
2690,2004,France,female,2949,29305421,,2115742488205,37240,9.87539958953857,5.38595704988,10.062984592509352
2691,2004,France,male,7855,27508501,,2115742488205,37240,8.07520008087158,3.0397016172000004,28.55480929331627
2692,2004,Georgia,female,28,2175650,,5125363001,1253,11.779999732971199,3.25495055902,1.2869717096040265
