,country,year,age,suicides/100k pop,depression
370,Australia,1990,35+ years,17.220000000000002,5.19667274843
371,Australia,1991,14- years,0.395,2.34043376308
372,Australia,1991,15-24 years,15.69,6.227119908855
373,Australia,1991,25-34 years,18.3,6.260847191555001
374,Australia,1991,35+ years,18.563333333333333,5.23534432827
375,Australia,1992,14- years,0.235,2.35930442176
376,Australia,1992,15-24 years,16.474999999999998,6.28402401166
377,Australia,1992,25-34 years,17.759999999999998,6.313109649209999
378,Australia,1992,35+ years,16.95,5.265527535503334
379,Australia,1993,14- years,0.27,2.38296735255
380,Australia,1993,15-24 years,13.705,6.335264219475
381,Australia,1993,25-34 years,16.56,6.357102331755
382,Australia,1993,35+ years,15.646666666666667,5.29246405002
383,Australia,1994,14- years,0.155,2.39637040746
384,Australia,1994,15-24 years,15.56,6.373169359025001
385,Australia,1994,25-34 years,18.17,6.39200311682
386,Australia,1994,35+ years,16.663333333333334,5.310413205703333
387,Australia,1995,14- years,0.15,2.4127041176499997
388,Australia,1995,15-24 years,14.629999999999999,6.39197260031
389,Australia,1995,25-34 years,18.69,6.4248059660050005
390,Australia,1995,35+ years,14.708333333333334,5.321149583173334
391,Australia,1996,14- years,0.575,2.4220130591099998
392,Australia,1996,15-24 years,15.665,6.372990231645
393,Australia,1996,25-34 years,19.88,6.44251519963
394,Australia,1996,35+ years,17.183333333333334,5.321566442273333
395,Australia,1997,14- years,0.535,2.4357049877700003
396,Australia,1997,15-24 years,18.51,6.331165197679999
397,Australia,1997,25-34 years,22.19,6.458320062775
398,Australia,1997,35+ years,17.409999999999997,5.31149390962
399,Australia,1998,14- years,0.295,2.4356131776099996
400,Australia,1998,15-24 years,16.43,6.2717475851049995
401,Australia,1998,25-34 years,23.959999999999997,6.456114710775
402,Australia,1998,35+ years,15.840000000000002,5.296483654833334
403,Australia,1999,14- years,0.595,2.4441606432799996
404,Australia,1999,15-24 years,14.16,6.21979111355
405,Australia,1999,25-34 years,21.895,6.457713613295001
406,Australia,1999,35+ years,15.641666666666664,5.28521122001
407,Australia,2000,14- years,0.32999999999999996,2.4567310876299997
408,Australia,2000,15-24 years,13.2,6.212015598330001
409,Australia,2000,25-34 years,19.95,6.47092241759
410,Australia,2000,35+ years,15.143333333333333,5.285382101973333
411,Australia,2001,14- years,0.295,2.48546162658
412,Australia,2001,15-24 years,12.774999999999999,6.245633536679999
413,Australia,2001,25-34 years,20.895,6.494827813240001
414,Australia,2001,35+ years,15.143333333333333,5.295824515493333
415,Australia,2002,14- years,0.295,2.52264716288
416,Australia,2002,15-24 years,11.165000000000001,6.307060031025
417,Australia,2002,25-34 years,19.335,6.525313995365
418,Australia,2002,35+ years,13.848333333333334,5.315769100516667
419,Australia,2003,14- years,0.515,2.5701353780500003
420,Australia,2003,15-24 years,10.510000000000002,6.39441491987
421,Australia,2003,25-34 years,17.375,6.564509892115
422,Australia,2003,35+ years,12.839999999999998,5.341625585909999
423,Australia,2004,14- years,0.29,2.6045915117200003
424,Australia,2004,15-24 years,9.67,6.460959326825
425,Australia,2004,25-34 years,16.225,6.58603227529
426,Australia,2004,35+ years,13.564999999999998,5.359797733643333
427,Australia,2006,14- years,0.29,2.61771477195
428,Australia,2006,15-24 years,10.4,6.473491901720001
429,Australia,2006,25-34 years,12.16,6.57758829368
430,Australia,2006,35+ years,13.698333333333332,5.362393991056667
431,Australia,2007,14- years,0.43499999999999994,2.61137924143
432,Australia,2007,15-24 years,10.01,6.43524775317
433,Australia,2007,25-34 years,14.675,6.537904332430001
434,Australia,2007,35+ years,13.335,5.350670639986667
435,Australia,2008,14- years,0.39499999999999996,2.61012808998
436,Australia,2008,15-24 years,9.34,6.3850564873
437,Australia,2008,25-34 years,14.715,6.483340596525
438,Australia,2008,35+ years,13.598333333333334,5.330665431063333
439,Australia,2009,14- years,0.11,2.59902007249
440,Australia,2009,15-24 years,8.73,6.33622962581
441,Australia,2009,25-34 years,14.06,6.43830186561
442,Australia,2009,35+ years,14.053333333333333,5.31386600079
443,Australia,2010,14- years,0.395,2.5923349238099997
444,Australia,2010,15-24 years,9.485,6.300142678050001
445,Australia,2010,25-34 years,12.655,6.389562097004999
446,Australia,2010,35+ years,14.595,5.295279184753333
447,Australia,2011,14- years,0.5800000000000001,2.5900562539400003
448,Australia,2011,15-24 years,10.815,6.274407543589999
449,Australia,2011,25-34 years,13.46,6.354450577350001
450,Australia,2011,35+ years,13.918333333333331,5.2762297196366665
451,Australia,2012,14- years,0.575,2.58795974134
452,Australia,2012,15-24 years,10.495000000000001,6.253026811814999
453,Australia,2012,25-34 years,13.59,6.318585913310001
454,Australia,2012,35+ years,15.041666666666666,5.252212143836666
455,Australia,2013,14- years,0.76,2.58899827849
456,Australia,2013,15-24 years,11.530000000000001,6.230876437200001
457,Australia,2013,25-34 years,12.5,6.274670930495
458,Australia,2013,35+ years,14.866666666666667,5.22099559014
459,Australia,2014,14- years,0.73,2.5879452776900003
460,Australia,2014,15-24 years,11.6,6.218408426070001
461,Australia,2014,25-34 years,15.135,6.241630919165001
462,Australia,2014,35+ years,15.690000000000003,5.188970363029999
463,Australia,2015,14- years,0.48000000000000004,2.58695957794
464,Australia,2015,15-24 years,12.335,6.206570763215
465,Australia,2015,25-34 years,15.405,6.197384550955
466,Australia,2015,35+ years,16.29,5.1508745279033334
467,Austria,1990,14- years,0.34,1.3573616568200002
468,Austria,1990,15-24 years,15.455,3.653710472945
469,Austria,1990,25-34 years,20.380000000000003,4.611862266035
470,Austria,1990,35+ years,46.905,4.802587115776667
471,Austria,1991,14- years,0.215,1.36005860299
472,Austria,1991,15-24 years,16.330000000000002,3.6794331566249996
473,Austria,1991,25-34 years,18.485,4.614249486785001
474,Austria,1991,35+ years,47.568333333333335,4.81707809318
475,Austria,1992,14- years,0.64,1.36342156595
